task	pdfs	pages	sheets	callouts	details	error
intrasheet/note-callout-accuracy/03addendum-joist-beam-mismatch	1	1	1	9	1	
intrasheet/note-callout-accuracy/25qa-unit-heater-mismatch	1	1	0	0	0	
intrasheet/note-callout-accuracy/armstrong-roofing-material-mismatch	1	1	0	0	3	
intrasheet/note-callout-accuracy/armstrong-water-heater-mismatch	1	1	1	0	12	
intrasheet/note-callout-accuracy/auxenc-pipe-hanger-swap	1	1	1	0	1	
intrasheet/note-callout-accuracy/bidset-cmu-stud-mismatch	1	1	1	0	12	
intrasheet/note-callout-accuracy/chichiltah-tank-details-clean	1	1	0	0	0	
intrasheet/note-callout-accuracy/gfiaa-footing-gradebeam-mismatch	1	1	1	0	3	
intrasheet/note-callout-accuracy/gfiaa-slab-type-mismatch	1	1	1	0	3	
intrasheet/note-callout-accuracy/reidhall-roof-deck-mismatch	1	1	1	0	14	
intrasheet/note-callout-accuracy/reidhall-structural-details-clean	1	1	1	0	17	
intrasheet/note-callout-accuracy/uccs-framing-member-swap	1	1	0	0	12	
intrasheet/note-callout-accuracy/usu-envelope-insulation-swap	1	1	1	0	4	
intrasheet/note-callout-accuracy/wpl-window-jamb-callout-swap	1	1	1	0	3	
